feature,mean_abs_shap
pm2_5,17.112075336647035
so2,10.462012866592413
pm10,9.689749969863886
no2,7.686897344017026
pm2_5_rolling_mean_24,6.959385144042968
o3,4.9038590013503995
co_lag_6,3.4091573938369764
no2_rolling_max_3,2.8484459959030164
so2_rolling_max_3,2.508686760425567
pm2_5_rolling_mean_3,2.116568794822694
pm2_5_rolling_max_6,1.836958443260192
so2_rolling_max_24,1.6738690732955945
so2_rolling_std_3,1.6672177249908444
pm2_5_lag_6,1.6197640888214102
day_of_year_sin,1.542631831169129
no2_lag_24,1.3625705175399796
o3_rolling_std_24,1.348486606407165
o3_rolling_max_12,1.1494201990127566
no2_lag_3,1.145883666419983
hour_cos,1.1375100505828855
o3_rolling_min_3,1.1021712078094488
pm2_5_lag_1,1.0558880321502684
pm10_rolling_max_3,0.9553352529525755
so2_lag_3,0.8962261634826655
pm10_rolling_min_3,0.8948720260620115
o3_lag_12,0.8623197616577144
co,0.7962813005447391
co_lag_3,0.7217161552429192
so2_rolling_min_3,0.715722297096252
so2_rolling_std_6,0.6692679750442514
pm10_rolling_max_6,0.6543379314422598
co_lag_12,0.6467121805191026
pm10_rolling_mean_6,0.646061277580262
o3_rolling_mean_24,0.6436616073608397
pm2_5_rolling_max_3,0.6122679973602292
no2_rolling_std_24,0.6082401767730713
co_lag_1,0.5883839817047132
pm2_5_rolling_mean_6,0.5501534765243533
pm2_5_lag_24,0.5325871414184565
co_rolling_min_24,0.5266736246109014
o3_lag_1,0.5139820772171013
pm2_5_rolling_std_6,0.5112820627212531
pm10_lag_3,0.504507259941101
o3_rolling_mean_3,0.48555913944244383
no2_lag_1,0.46323864231109657
pm10_rolling_min_12,0.4577610715866088
o3_lag_24,0.45044134235382116
aerosol_optical_depth,0.4063466445922845
no2_rolling_max_6,0.40380769977569564
pm2_5_rolling_std_24,0.39571701717376695
so2_rolling_mean_6,0.3898522970199587
pm2_5_lag_3,0.3460641014099122
pm2_5_rolling_min_12,0.3341215639114378
co_rolling_std_6,0.33382121448516977
so2_lag_24,0.3298898410797119
pm2_5_rolling_std_3,0.3135655771255497
pm10_lag_6,0.3133822860717772
so2_rolling_max_12,0.3085814567565916
o3_rolling_max_3,0.29987002267837515
pm10_rolling_mean_12,0.29741898174285947
o3_lag_3,0.2968196910858157
so2_rolling_mean_24,0.29584120769500727
so2_lag_12,0.2947912483215335
no2_rolling_std_3,0.2834140762329105
no2_lag_6,0.27257797126770056
co_rolling_std_3,0.2690816219329831
o3_rolling_std_6,0.2653508548736577
co_rolling_min_12,0.24809442939758317
no2_rolling_min_6,0.24631101875305192
no2_rolling_std_12,0.24606834144592263
co_rolling_min_3,0.2432582288742058
no2_rolling_mean_6,0.24147198638916006
o3_rolling_min_24,0.2326892385482794
pm2_5_pm10_ratio,0.23222726249694856
no2_rolling_max_12,0.22218802070617652
no2_rolling_mean_24,0.22170915069580027
pm2_5_rolling_min_24,0.22090403709411607
no2_rolling_min_3,0.21676300659179656
pm10_rolling_mean_24,0.21398562145233174
o3_lag_6,0.2107745260238649
o3_rolling_std_12,0.2087527244567867
day_of_year_cos,0.1951283422470091
pm10_rolling_std_12,0.17618066921234135
pm10_rolling_std_3,0.1748276592254637
co_lag_24,0.15515411491394057
pm2_5_rolling_std_12,0.1545760345458994
o3_rolling_std_3,0.14728003120422367
pm10_rolling_std_24,0.12237536163330034
o3_rolling_max_6,0.11963503742217974
dust,0.11908956775665225
no2_rolling_min_12,0.11767255229949913
so2_rolling_max_6,0.11586323146820028
no2_lag_12,0.1151441299438478
pm2_5_lag_12,0.10823364772796612
no2_rolling_std_6,0.10051776409149163
pm10_rolling_min_24,0.09743482437133749
co_rolling_std_12,0.09621531639099182
co_rolling_max_3,0.0830670860290531
pm2_5_rolling_max_24,0.07840652351379401
pm2_5_rolling_mean_12,0.07447674026489266
pm2_5_rolling_min_6,0.07256990108489948
so2_rolling_mean_12,0.07040741691589286
o3_rolling_min_12,0.06665013828277587
day_of_year,0.06563725643157926
so2_lag_6,0.06450859985351595
so2_rolling_std_24,0.06399830226898245
pm10_lag_1,0.05805751476287821
o3_rolling_mean_6,0.05639454326629629
co_rolling_mean_6,0.05507205772399921
no2_rolling_mean_3,0.05453348293304515
pm10_lag_24,0.052815819549560356
o3_rolling_mean_12,0.05015669326782184
pm2_5_rolling_max_12,0.04746267986297546
day_of_week_sin,0.044383525276184096
pm2_5_rolling_min_3,0.04424613227844272
pm10_rolling_std_6,0.044118989562989167
so2_rolling_mean_3,0.04126131706237761
hour_sin,0.038075559806823804
co_rolling_max_6,0.0354507835388192
co_rolling_mean_3,0.03315493812561069
day_of_week,0.03201131191253701
hour,0.03135438251495369
co_rolling_mean_12,0.030116165733337575
co_rolling_min_6,0.028277169418334865
so2_rolling_min_6,0.024928170394898218
pm10_rolling_max_24,0.022275169754028212
so2_rolling_std_12,0.02064338951110827
o3_rolling_max_24,0.019821715354919115
so2_lag_1,0.019117820358276562
pm10_rolling_mean_3,0.015226484298706034
no2_rolling_mean_12,0.013694875335693836
pm10_lag_12,0.013625560569762918
so2_rolling_min_12,0.013270081901550164
o3_rolling_min_6,0.012427078437805541
pm10_rolling_min_6,0.01234942188262888
no2_rolling_max_24,0.012326247406005564
month_sin,0.01137795047760008
pm10_rolling_max_12,0.00883472633361798
no2_rolling_min_24,0.005230756568908462
co_rolling_mean_24,0.004646578216552442
month,0.0031304626464842755
co_rolling_std_24,0.0031125375747683747
co_rolling_max_12,0.0006955513000488623
day_of_month,6.49557113647603e-05
co_normalized,0.0
no2_normalized,0.0
so2_normalized,0.0
pm10_normalized,0.0
pm2_5_normalized,0.0
co_rolling_max_24,0.0
nh3,0.0
dominant_pollutant,0.0
so2_rolling_min_24,0.0
day_of_week_cos,0.0
month_cos,0.0
is_weekend,0.0
o3_normalized,0.0
